word,pyleetspeak,minedLeet,BestMatches,correct
edards,3dards,['3dards'],awards,no
lrapa,lr@p@,['lr@p@'],lrApA,yes
marburg,m@rb_rg,['m@rb_rg'],mArbArg,no
tigate,tigat3,['tigat3'],tights,no
originals,0r1g1n4ls,['0r1g1n4ls'],OrIgInAls,yes
aggravating,@ggr4vat1ng,['@ggr4vat1ng'],AggrAvatIng,yes
gamessiemens,g@m3ss13mens,['g@m3ss13mens'],gAmEssIEmens,yes
luedenscheid,luedensche1d,['luedensche1d'],luedenscheId,yes
linkmore,linkm0re,['linkm0re'],linkmOre,yes
harpist,h@rpist,['h@rpist'],hArpist,yes
leaguerugby,l3@g_3r_gby,['l3@g_3r_gby'],lEAgAErAgby,no
pazzo,p4zz0,['p4zz0'],pIzzA,no
ljrittle,ljr1ttl3,['ljr1ttl3'],ljrIttlE,yes
olc,0lc,['0lc'],old,no
unshakeable,_nsh4k34bl3,['_nsh4k34bl3'],AnshAkEAblE,no
eales,34l3s,['34l3s'],EAlEs,yes
fegan,f3g4n,['f3g4n'],fEgAn,yes
knirsch,kn1rsch,['kn1rsch'],knIrsch,yes
wintered,w1ntered,['w1ntered'],wintered,yes
westvirginiamentor,w3stv1rg1ni4m3ntor,[],,
nnnn,nnnn,[],,
greenhornes,gre3nh0rn3s,['gre3nh0rn3s'],greEnhOrnEs,yes
dunnington,dunningt0n,['dunningt0n'],dunningtOn,yes
largehearted,l@rg3he4rt3d,['l@rg3he4rt3d'],lArgEheArtEd,yes
duranty,d_ranty,['d_ranty'],drafty,no
ubject,_bject,['_bject'],Abject,no
sarah,s4r@h,['s4r@h'],sArAh,yes
oorno,o0rn0,['o0rn0'],orn,no
amewican,4m3w1c4n,['4m3w1c4n'],AmEwIcAn,yes
riess,r13ss,['r13ss'],russ,no
chksum,chksum,[],,
reprobates,r3prob4t3s,['r3prob4t3s'],rEprobAtEs,yes
asianproducts,@s14npr0d_cts,['@s14npr0d_cts'],AsIAnprOdActs,no
forsey,f0rs3y,['f0rs3y'],fOrsEy,yes
dalmation,d@lm4t10n,['d@lm4t10n'],dAlmAtIOn,yes
prokop,pr0k0p,['pr0k0p'],prOkOp,yes
desormeaux,d3s0rm3@_x,['d3s0rm3@_x'],dEsOrmEAAx,no
litvak,l1tvak,['l1tvak'],lItvak,yes
escan,3scan,['3scan'],scan,no
britbey,br1tbey,['br1tbey'],britney,no
narrowband,n@rr0wb4nd,['n@rr0wb4nd'],nArrOwbAnd,yes
kixs,k1xs,['k1xs'],kids,no
goldson,g0lds0n,['g0lds0n'],gOldsOn,yes
overpopulation,0v3rp0p_lat1on,['0v3rp0p_lat1on'],OvErpOpAlatIon,no
